feature,mutual_information
stem-width,0.06391902800995064
stem-height,0.044431151742608144
stem-surface,0.04211684036478465
stem-color,0.04057505864099051
cap-diameter,0.03573595972137822
cap-color,0.03125090177578613
cap-surface,0.030221875304043543
ring-type,0.02866319633561048
gill-attachment,0.02484112950309718
cap-shape,0.018908138551198522
gill-color,0.01850672301674108
habitat,0.018217239219069495
season,0.007122810769998489
gill-spacing,0.006274652689207183
has-ring,0.0017259921950759094
does-bruise-or-bleed,0.00018530829188689868
