dataset,model,importance_view,encoded_feature,original_feature,importance
uci,Decision Tree,encoded,categorical__odor_n,odor,0.6177902473517449
uci,Decision Tree,encoded,categorical__stalk-root_c,stalk-root,0.17932234545923406
uci,Decision Tree,encoded,categorical__stalk-surface-below-ring_y,stalk-surface-below-ring,0.09852758640290787
uci,Decision Tree,encoded,categorical__spore-print-color_r,spore-print-color,0.03582957392097904
uci,Decision Tree,encoded,categorical__odor_a,odor,0.022585992565331357
uci,Decision Tree,encoded,categorical__odor_l,odor,0.02192347643771309
uci,Decision Tree,encoded,categorical__bruises_t,bruises,0.016225962553419345
uci,Decision Tree,encoded,categorical__ring-number_t,ring-number,0.005331464413833249
uci,Decision Tree,encoded,categorical__cap-surface_g,cap-surface,0.0018440607897824367
uci,Decision Tree,encoded,categorical__cap-shape_c,cap-shape,0.0006155915464542261
uci,Decision Tree,encoded,categorical__gill-size_b,gill-size,3.6985586003782224e-06
uci,Decision Tree,encoded,categorical__cap-shape_s,cap-shape,0.0
uci,Decision Tree,encoded,categorical__cap-shape_x,cap-shape,0.0
uci,Decision Tree,encoded,categorical__cap-color_g,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_n,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-surface_f,cap-surface,0.0
uci,Decision Tree,encoded,categorical__cap-surface_s,cap-surface,0.0
uci,Decision Tree,encoded,categorical__cap-surface_y,cap-surface,0.0
uci,Decision Tree,encoded,categorical__cap-color_b,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_c,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_e,cap-color,0.0
uci,Decision Tree,encoded,categorical__bruises_f,bruises,0.0
uci,Decision Tree,encoded,categorical__cap-color_y,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_w,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_u,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_r,cap-color,0.0
uci,Decision Tree,encoded,categorical__cap-color_p,cap-color,0.0
uci,Decision Tree,encoded,categorical__odor_m,odor,0.0
uci,Decision Tree,encoded,categorical__odor_f,odor,0.0
uci,Decision Tree,encoded,categorical__odor_p,odor,0.0
uci,Decision Tree,encoded,categorical__odor_s,odor,0.0
uci,Decision Tree,encoded,categorical__gill-attachment_a,gill-attachment,0.0
uci,Decision Tree,encoded,categorical__odor_y,odor,0.0
uci,Decision Tree,encoded,categorical__gill-attachment_f,gill-attachment,0.0
uci,Decision Tree,encoded,categorical__gill-spacing_c,gill-spacing,0.0
uci,Decision Tree,encoded,categorical__gill-spacing_w,gill-spacing,0.0
uci,Decision Tree,encoded,categorical__odor_c,odor,0.0
uci,Decision Tree,encoded,categorical__gill-size_n,gill-size,0.0
uci,Decision Tree,encoded,categorical__gill-color_b,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_g,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_e,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_k,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_n,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_o,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_h,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_p,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_r,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_w,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_u,gill-color,0.0
uci,Decision Tree,encoded,categorical__gill-color_y,gill-color,0.0
uci,Decision Tree,encoded,categorical__cap-shape_b,cap-shape,0.0
uci,Decision Tree,encoded,categorical__cap-shape_k,cap-shape,0.0
uci,Decision Tree,encoded,categorical__cap-shape_f,cap-shape,0.0
uci,Decision Tree,encoded,categorical__stalk-root_b,stalk-root,0.0
uci,Decision Tree,encoded,categorical__stalk-shape_t,stalk-shape,0.0
uci,Decision Tree,encoded,categorical__stalk-shape_e,stalk-shape,0.0
uci,Decision Tree,encoded,categorical__stalk-root_e,stalk-root,0.0
uci,Decision Tree,encoded,categorical__stalk-surface-above-ring_k,stalk-surface-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-surface-above-ring_s,stalk-surface-above-ring,0.0
uci,Decision Tree,encoded,categorical__stalk-root_unknown,stalk-root,0.0
uci,Decision Tree,encoded,categorical__stalk-root_r,stalk-root,0.0
